City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Kruisfontein,ZA,-34.0033,24.7314,78.89,23,0,17.45,clear sky
328,Molochnoye,RU,59.2917,39.6787,68.47,72,98,4.41,overcast clouds
329,La Rochelle,FR,46.1667,-1.15,89.67,29,0,12.66,clear sky
330,Sao Filipe,CV,14.8961,-24.4956,74.01,81,22,8.23,few clouds
331,Lazdijai,LT,54.2333,23.5167,63.21,79,99,10.98,overcast clouds
332,Dukat,RU,62.55,155.55,50.49,92,19,4.85,few clouds
333,Bako,ET,5.7833,36.5667,68.52,66,100,3.6,overcast clouds
334,Caceres,ES,39.522,-6.3748,104.27,8,0,5.08,clear sky
335,Kristiinankaupunki,FI,62.2743,21.376,58.57,86,100,11.34,light rain
336,Waingapu,ID,-9.6567,120.2641,76.32,80,76,12.06,broken clouds
337,Bubaque,GW,11.2833,-15.8333,81.68,79,60,8.97,broken clouds
338,Yangliuqing,CN,39.1375,116.9997,84.15,41,99,7.74,overcast clouds
339,Baoning,CN,25.3378,110.026,79.0,87,6,3.11,clear sky
340,Nizwa,OM,22.9333,57.5333,81.37,78,100,3.36,light rain
341,San Miguel,SV,13.4833,-88.1833,83.77,67,46,2.68,scattered clouds
342,Margate,GB,51.3813,1.3862,70.88,64,20,14.23,few clouds
343,Ballina,AU,-28.8667,153.5667,49.01,86,61,6.31,broken clouds
344,Labuhan,ID,-6.8844,112.2051,76.37,81,12,7.67,few clouds
345,Bilma,NE,18.6853,12.9164,106.12,10,6,6.04,clear sky
346,Clarksdale,US,34.2001,-90.5709,89.58,70,20,6.91,few clouds
347,Inta,RU,66.0317,60.1659,69.04,51,75,5.14,broken clouds
348,Okato,NZ,-39.2,173.8833,54.91,100,100,3.36,overcast clouds
349,Yongan,CN,39.6957,113.6871,64.96,69,100,3.74,moderate rain
350,Pisco,PE,-13.7,-76.2167,62.02,87,23,3.13,few clouds
351,Lashio,MM,22.9333,97.75,70.39,97,81,0.92,broken clouds
352,Fallon,US,39.4735,-118.7774,73.92,32,0,3.44,clear sky
353,Burnie,AU,-41.0667,145.9167,43.95,67,8,8.77,clear sky
354,Coquimbo,CL,-29.9533,-71.3436,55.31,80,70,14.41,broken clouds
355,Moville,US,42.4889,-96.0725,76.69,70,0,6.64,clear sky
356,Vidim,RU,56.4088,103.1106,52.92,93,85,2.93,overcast clouds
357,Assiniboia,CA,49.6334,-105.9845,75.38,61,0,7.74,clear sky
358,Villefontaine,FR,45.6125,5.1456,82.47,39,0,13.8,clear sky
